Timestamp,ID,InputPower,OutputPower,Failure
1624457562,Ampli4,-22.8,0.7,0
1624457566,Ampli4,-22.9,0.7,0
1624457569,Ampli4,-22.8,0.7,0
1624457572,Ampli4,-22.8,0.7,0
1624457575,Ampli4,-22.8,0.7,0
1624457578,Ampli4,-22.9,0.7,0
1624457582,Ampli4,-22.9,0.7,0
1624457585,Ampli4,-22.9,0.7,0
1624457588,Ampli4,-22.9,0.7,0
1624457591,Ampli4,-22.9,0.7,0
1624457595,Ampli4,-22.9,0.7,0
1624457598,Ampli4,-22.9,0.7,0
1624457601,Ampli4,-22.9,0.7,0
1624457604,Ampli4,-22.9,0.7,0
1624457607,Ampli4,-22.9,0.7,0
1624457611,Ampli4,-22.9,0.7,0
1624457614,Ampli4,-22.9,0.7,0
1624457617,Ampli4,-22.9,0.7,0
1624457620,Ampli4,-22.9,0.7,0
1624457623,Ampli4,-22.9,0.7,0
1624457627,Ampli4,-22.9,0.7,0
1624457630,Ampli4,-22.9,0.7,0
1624457633,Ampli4,-22.9,0.7,0
1624457636,Ampli4,-22.9,0.7,0
1624457639,Ampli4,-22.9,0.7,0
1624457643,Ampli4,-22.9,0.7,0
1624457646,Ampli4,-22.9,0.7,0
1624457649,Ampli4,-22.9,0.7,0
1624457652,Ampli4,-22.9,0.7,0
1624457655,Ampli4,-22.9,0.7,0
1624457659,Ampli4,-22.9,0.7,0
1624457662,Ampli4,-22.9,0.7,0
1624457665,Ampli4,-22.9,0.7,0
1624457668,Ampli4,-22.9,0.7,0
1624457672,Ampli4,-22.9,0.7,0
1624457675,Ampli4,-22.9,0.7,0
1624457678,Ampli4,-22.9,0.7,0
1624457681,Ampli4,-22.9,0.7,0
1624457684,Ampli4,-22.9,0.7,0
1624457688,Ampli4,-22.9,0.7,0
1624457691,Ampli4,-22.9,0.7,0
1624457694,Ampli4,-22.9,0.7,0
1624457697,Ampli4,-22.9,0.7,0
1624457700,Ampli4,-22.9,0.7,0
1624457704,Ampli4,-22.9,0.7,0
1624457707,Ampli4,-22.9,0.7,0
1624457710,Ampli4,-22.9,0.7,0
1624457713,Ampli4,-22.9,0.7,0
1624457717,Ampli4,-22.9,0.7,0
1624457720,Ampli4,-22.9,0.7,0
1624457723,Ampli4,-22.9,0.7,0
1624457726,Ampli4,-22.9,0.7,0
1624457729,Ampli4,-22.9,0.7,0
1624457733,Ampli4,-22.9,0.7,0
1624457736,Ampli4,-22.9,0.7,0
1624457739,Ampli4,-22.9,0.7,0
1624457742,Ampli4,-22.9,0.7,0
1624457746,Ampli4,-22.9,0.7,0
