Timestamp,ID,InputPower,OutputPower,Failure
1624457562,Ampli1,-19.2,0.7,0
1624457565,Ampli1,-19.2,0.7,0
1624457569,Ampli1,-19.2,0.7,0
1624457572,Ampli1,-19.2,0.7,0
1624457575,Ampli1,-19.2,0.7,0
1624457578,Ampli1,-19.6,0.7,0
1624457582,Ampli1,-19.6,0.7,0
1624457585,Ampli1,-19.6,0.7,0
1624457588,Ampli1,-19.6,0.7,0
1624457591,Ampli1,-19.6,0.7,0
1624457594,Ampli1,-19.6,0.7,0
1624457598,Ampli1,-19.6,0.7,0
1624457601,Ampli1,-19.6,0.7,0
1624457604,Ampli1,-19.6,0.7,0
1624457607,Ampli1,-19.6,0.7,0
1624457611,Ampli1,-19.6,0.7,0
1624457614,Ampli1,-19.6,0.7,0
1624457617,Ampli1,-19.6,0.7,0
1624457620,Ampli1,-19.6,0.7,0
1624457623,Ampli1,-19.6,0.7,0
1624457627,Ampli1,-19.6,0.7,0
1624457630,Ampli1,-19.6,0.7,0
1624457633,Ampli1,-19.6,0.7,0
1624457636,Ampli1,-20.1,0.7,0
1624457639,Ampli1,-20.1,0.7,0
1624457643,Ampli1,-20.1,0.7,0
1624457646,Ampli1,-20.1,0.7,0
1624457649,Ampli1,-20.1,0.7,0
1624457652,Ampli1,-20.1,0.7,0
1624457655,Ampli1,-20.1,0.7,0
1624457659,Ampli1,-20.1,0.7,0
1624457662,Ampli1,-20.1,0.7,0
1624457665,Ampli1,-20.1,0.7,0
1624457668,Ampli1,-20.1,0.7,0
1624457672,Ampli1,-20.1,0.7,0
1624457675,Ampli1,-20.1,0.7,0
1624457678,Ampli1,-20.1,0.7,0
1624457681,Ampli1,-20.1,0.7,0
1624457684,Ampli1,-20.1,0.7,0
1624457688,Ampli1,-20.1,0.7,0
1624457691,Ampli1,-20.1,0.7,0
1624457694,Ampli1,-20.1,0.7,0
1624457697,Ampli1,-20.6,0.7,0
1624457700,Ampli1,-20.6,0.7,0
1624457704,Ampli1,-20.6,0.7,0
1624457707,Ampli1,-20.6,0.7,0
1624457710,Ampli1,-20.6,0.7,0
1624457713,Ampli1,-20.6,0.7,0
1624457717,Ampli1,-20.6,0.7,0
1624457720,Ampli1,-20.6,0.7,0
1624457723,Ampli1,-20.6,0.7,0
1624457726,Ampli1,-20.6,0.7,0
1624457729,Ampli1,-20.6,0.7,0
1624457733,Ampli1,-20.6,0.7,0
1624457736,Ampli1,-20.6,0.7,0
1624457739,Ampli1,-20.6,0.7,0
1624457742,Ampli1,-20.6,0.7,0
1624457745,Ampli1,-20.6,0.7,0
1624457749,Ampli1,-20.6,0.7,0
1624457752,Ampli1,-20.6,0.7,0
1624457755,Ampli1,-20.6,0.7,0
1624457758,Ampli1,-21.0,0.7,0
1624457762,Ampli1,-21.0,0.7,0
1624457765,Ampli1,-21.0,0.7,0
1624457768,Ampli1,-21.0,0.7,0
1624457771,Ampli1,-21.0,0.7,0
1624457774,Ampli1,-21.0,0.7,0
1624457778,Ampli1,-21.0,0.7,0
1624457781,Ampli1,-21.0,0.7,0
1624457784,Ampli1,-21.0,0.7,0
1624457787,Ampli1,-21.0,0.7,0
1624457790,Ampli1,-21.0,0.7,0
1624457794,Ampli1,-21.0,0.7,0
1624457797,Ampli1,-21.0,0.7,0
1624457800,Ampli1,-21.0,0.7,0
1624457803,Ampli1,-21.0,0.7,0
